Question,Option 1,Option 2,Option 3,Option 4
"=IMAGE(""./img/question_1.jpg"")",Hidden intersection ahead,Winding road ahead,Road slippery when wet,Narrow road ahead
"=IMAGE(""./img/question_2.jpg"")","Factory, slow down",Bump or uneven pavement,Construction zone,Bridge or viaduct
"=IMAGE(""./img/question_3.jpg"")",You are approaching a four-way intersection,You are approaching a pedestrian crosswalk,You are approaching a hospital zone,You are approaching a railroad crossing
"=IMAGE(""./img/question_4.jpg"")",Divided highway ahead,Divided highway ends,Narrow bridge ahead,Road under construction
"=IMAGE(""./img/question_5.jpg"")",Beware of a hidden intersection,"Intersection ahead, the arrow shows which direction of traffic has the right-of-way",Traffic going in the direction of the arrow does not have the right-of-way,Railway crossing ahead
"=IMAGE(""./img/question_6.jpg"")",Sign indicates traffic going in the direction of the arrow have the right-of-way,"Danger, the road ahead ends",Sharp turn on the road in the direction of the arrow; drive with caution,Do not turn right
"=IMAGE(""./img/question_7.jpg"")",Parking for trucks ahead,No trucks are permitted beyond this sign,Bumpy road ahead,The sign warns of a steep hill ahead
"=IMAGE(""./img/question_8.jpg"")",Deer cross regularly; drive with caution,Destination board indicating a zoo,No standing between signs,None of the above
"=IMAGE(""./img/question_9.jpg"")",Road ahead  slippery when wet,Bumpy road ahead,Railway crossing ahead,Winding road ahead
"=IMAGE(""./img/question_10.jpg"")",Road ahead  slippery when wet,Bumpy road ahead,Railway crossing ahead,Winding road ahead
"=IMAGE(""./img/question_11.jpg"")",Divided highway begins ahead,Narrow bridge ahead,Divided highway ends ahead,Winding road ahead
"=IMAGE(""./img/question_12.jpg"")",No truck allowed,Truck entrance on the right side ahead,Slow down for trucks,Truck route
"=IMAGE(""./img/question_13.jpg"")",Road is blocked ahead,Narrow bridge ahead,Pedestrian crossing ahead,This sign means only local traffic allowed
"=IMAGE(""./img/question_14.jpg"")",No passing allowed,Drive with caution when passing a vehicle,Share the road with oncoming traffic,The road is divided by a traffic island
"=IMAGE(""./img/question_15.jpg"")",Traffic signals ahead,Stop sign 150 meters (500 feet) ahead,Bump 125 meters (400 feet) ahead,Railroad crossing ahead
"=IMAGE(""./img/question_16.jpg"")",You must not make a right turn,You are approaching traffic signal lights,You are approaching a stop sign,You must not make a left turn
"=IMAGE(""./img/question_17.jpg"")",Road ahead is blocked,You must make a right at the next intersection,Hidden intersection ahead,None of the above
"=IMAGE(""./img/question_18.jpg"")",Right lane exits,Slight bend or curve in the road ahead,You must make a right turn,U-Turns permitted
"=IMAGE(""./img/question_19.jpg"")",Do not enter,Traffic lights ahead; you have the right-of-way,The action within the green circle is prohibited,Permissive sign
"=IMAGE(""./img/question_20.jpg"")",This parking space is restricted for vehicles displaying a valid handicap Access Parking Permit,Only wheelchairs can be parked here,No parking allowed,Sign indicates driver's who have an Access Parking Permit may not park here
"=IMAGE(""./img/question_21.jpg"")",No entry into intersection,No stopping at any time between signs,Vehicles approaching from the angle shown must stop,Stop not needed for stop signs in directions of arrows.
"=IMAGE(""./img/question_22.jpg"")",No left turn during times indicated; all other times permitted,No left turn any time,No right turn during times indicated; all other times permitted,No right turn any time
"=IMAGE(""./img/question_23.jpg"")",Do not drive through intersection,The road is blocked beyond the sign,Do not enter,Stop immediately
"=IMAGE(""./img/question_24.jpg"")",Bridge or viaduct ahead; proceed with caution,Route ahead is for trucks only,Do not enter unless local traffic,Prohibited sign
"=IMAGE(""./img/question_25.jpg"")",Beware of passing vehicles,Do not enter,No passing allowed at any time,You are approaching steep hill
"=IMAGE(""./img/question_26.jpg"")",No buses allowed on specified lane during posted times,No stopping within the times,Do not enter between the times,This lane is reserved for specific types of and/or a specific amount of passengers in a vehicle
"=IMAGE(""./img/question_27.jpg"")",No right turns permitted on this street,Right turns are permitted when the light is red,On red lights you must stop and check if it is safe before making a right turn,Right turns are not permitted when the light is red
"=IMAGE(""./img/question_28.jpg"")",You must make a right turn only,You must not make a left turn,Hidden intersection ahead,You are approaching a traffic island
"=IMAGE(""./img/question_29.jpg"")",The speed limit is 50 km/h,Speed limit of 50 km/h ends,Speed limit of 50 km/h begins,A and C is correct
"=IMAGE(""./img/question_30.jpg"")","School zone, drive 30km/h when lights are flashing",Maximum 30km/h beyond this point,Pedestrian crossing ahead,None of the above
"=IMAGE(""./img/question_31.jpg"")",No right turns permitted,No left turns permitted,You may right turn if the light is green,You may right turn if the light is yellow
"=IMAGE(""./img/question_32.jpg"")",You have the right-of-way,Railway crossing ahead,You must give the right-of-way,School area ahead
"=IMAGE(""./img/question_33.jpg"")",Do not enter unless local traffic,Do not pass,Do not enter,Traffic circle ahead
"=IMAGE(""./img/question_34.jpg"")",Parking is only permitted between the signs at the times shown; 30 mins allowed,Parking is permitted for 30mins on any day,Parking is not allowed at any time,None of the above
"=IMAGE(""./img/question_35.jpg"")",No pedestrians allowed on roadway,Beware of pedestrian on the road,Road slippery when wet,No standing
"=IMAGE(""./img/question_36.jpg"")",Road slippery when wet,No left turn permitted,No right turn permitted,"You must not make a ""U"" turn"
"=IMAGE(""./img/question_37.jpg"")",No standing between signs,Do not block intersection,No parking allowed between signs,Parking is available to the left and right of the sign
"=IMAGE(""./img/question_38.jpg"")",Approaching railroad crossing; slow down and prepare to stop,Approaching pedestrian cross walk; slow down and prepare to stop and yield to the right-of-way,Approaching intersection; slow down and prepare to stop,No pedestrians allowed on the road
"=IMAGE(""./img/question_39.jpg"")",You must yield to the bus once it has signalled its intent to return to lane,You may pass the bus if it is safe,Do not pass buses,Make sure you signal before making a t
"=IMAGE(""./img/question_40.jpg"")",No bicycles permitted,Bikes are permitted,Share the road with bicyclist,Do not leave bicycles unattended in this area
"=IMAGE(""./img/question_41.jpg"")",Railroad crossing ahead,Do not enter,Pedestrian crossing ahead,Vehicles cannot cross/change lanes
"=IMAGE(""./img/question_42.jpg"")",I am turning right,I am turning left,I am slowing or stopping,None of the above
"=IMAGE(""./img/question_43.jpg"")",Lane usage sign meaning right turn only,The road ahead curves to the right,The road ahead curves to the left,Lane usage sign permitting all turns
"=IMAGE(""./img/question_44.jpg"")",Playground zone sign for students,Children playing in residential area,School zone sign,Bus stop ahead
"=IMAGE(""./img/question_45.jpg"")",You might make a left turn,You must go straight,You cannot turn right,Traffic is permitted only in the direction of the sign
"=IMAGE(""./img/question_46.jpg"")",This sign means there is a two-way shared left turn lane,This sign means there is a left or right turn lane,This sign means there is a two-way right turn lane,Beware of slippery roads
"=IMAGE(""./img/question_47.jpg"")",Stop at all times,Stop only if other vehicles are approaching,Stop sign 150 meters,Stop sign 125 meters
"=IMAGE(""./img/question_48.jpg"")",I am turning left,I am turning right,I am slowing or stopping,No passing allowed
"=IMAGE(""./img/question_49.jpg"")",New driver,New born baby on broad,Parking is permitted,No parking is permitted
"=IMAGE(""./img/question_50.jpg"")",This sign shows wheelchair accessible facilities,No standing allowed,Do not park here,Beware of low speed vehicles
"=IMAGE(""./img/question_51.jpg"")",I am turning right,I am turning left,I am slowing or stopping,None of the above
"=IMAGE(""./img/question_52.jpg"")",Beware of children playing,Highway work operations ahead,Do not block pedestrian crossing,Construction sign - slow down - obey fragments decisions
"=IMAGE(""./img/question_53.jpg"")",Watch out for children passing,Beware of pedestrians crossing the road,"Traffic control person ahead, drive slowly and watch for instructions",School bus zone
"=IMAGE(""./img/question_54.jpg"")",Slow moving vehicle  ahead,You have the right-of-way,Yield to the right-of-way,Construction site ahead
"=IMAGE(""./img/question_55.jpg"")",Pass to right of traffic island,Road turns right then left,Winding road ahead,Pass other traffic on the right
"=IMAGE(""./img/question_56.jpg"")",Divided  highway ahead,You are approaching a one-way street,Hidden intersection ahead,Pavement narrows
"=IMAGE(""./img/question_57.jpg"")",Destination board,School zone - watch for children playing,Provincial park,Pedestrian control sign meaning no active games
"=IMAGE(""./img/question_58.jpg"")",X intersection for school vehicles,School crosswalk sign,Caution - school bus crossing,Regulatory sign
"=IMAGE(""./img/question_59.jpg"")",Stop sign,Yield sign,Slow moving vehicle,School bus stop arm
"=IMAGE(""./img/question_60.jpg"")",Maximum speed 50 km/h (30 miles) from this sign to the next,Speed limit for rural school zone,End of 50 km/h (30 miles) ahead,Maximum speed 50 km/h (30 miles) ahead
A person whose driver's license is under suspension may:,Not operate a motor vehicle under any circumstances,Operate a motor vehicle in a case of an emergency,Operate a motor vehicle to and from work,Operate a motor vehicle when accompanied by a full G licensed driver
What is the maximum blood alcohol concentration (BAC) for fully licensed drivers?,0.03%,0.05%,0.08%,1.00%
What penalties can a driver face when convicted of driving while their licence is suspended for a Criminal Code Offence:,"A fine of $5,000-$25,000 and an additional 1 year suspension for a first offence","A fine of $10,000-$50,000 and an additional 2 years of suspension for a subsequent offence within 5 years",Up to 2 years in prison and a three year licence suspension under the Criminal Code,All of the above
Under what circumstances may a driver's licence be cancelled?,If you fail a driver's re-examination,For possession of an altered driver's licence,If you don’t pay your reinstatement fee or administrative monetary penalty following a suspension,Any or all of above
"If you are convicted of careless driving or driving 50 km/h or more over the speed limit, the consequences for a first offence is:",Licence suspension for up to 15 days,Licence suspension for up to 30 days,Licence suspension for up to 45 days,Licence suspension for up to 60 days
"When your suspension period ends, after accumulating 15 demerit points, how many points are you reduced down to?",Reduced to 10 points,Reduced to 7 points,Reduced to 5 points,Reduced to 3 points
The Ministry of Transportation may suspend a licence after a 9 demerit point interview:,If the driver does not have full G licence,If the driver fails to give a satisfactory reasons as to why their licence should not be suspended,A driver's licence may not be suspended before the 10 demerit point mark,A driver's licence may not be suspended before the 15 demerit point mark
A class G1 drivers must  be accompanied by a class G driver with a blood alcohol concentration level of less than:,0.00%,0.03%,0.05%,0.08%
When may you not lend your driver's licence?,In emergencies,To a person learning to drive,It is not permitted,For identification purpose
"If you are a teenage driver, after six months of obtaining your G2 licence and until you obtain your G licence or turn 20, how many teenage passengers are you allowed to carry between midnight to 5 a.m.?",1 passenger aged 19 or under,2 passengers aged 19 or under,3 passengers aged 19 or under,No passengers aged 19 or under
"As a class G2 driver, your blood alcohol concentration level must not be over:",0.08%,0.05%,0.03%,0.00%
"As a Level One (Class G1) or Level Two (Class G2) driver, your licence will be suspended if you collect:",Two or more demerit points,Six demerit points,Nine or more demerit points during a two-year period,10 or more demerit points
"As a Level One (Class G1) or Level Two (Class G2) driver, the first time you collect the maximum
number of demerit points, your licence will be suspended for",30 days,60 days,90 days,120 days
"If you are a teenage driver aged 19 or under in the first six months after obtaining your G2 licence, how many teenage passengers are you allowed to carry between midnight to 5 a.m.?",1 passenger aged 19 or under,2 passengers aged 19 or under,3 passengers aged 19 or under,No passengers aged 19 or under
Which of the following has the right-of-way when the light is green?,Vehicles turning right with the green light,Pedestrians crossing with the green light,Vehicles turning left with the green light,Pedestrians crossing against the light
"When driving on a one-way street, which lane must you be in to make a left turn?",Closest to the right side of the road,Closest to the left side of the road,You may make a left turn on any lane,None of the above are correct
"When making a right turn at a red light, what must you check before making the turn?","Stop, signal and check for pedestrians",Check if there are any restrictions against making a right turn,Check for vehicles going straight with the green light,All of the above
What should you do if you approach an intersection and the light changes from green to yellow?,"Stop, if stopping is unsafe to do so then proceed with caution",Accelerate your vehicle through intersection before the yellow light turns red,Change nothing and drive through,None of the above
Is there a seat belt law in Ontario?,Yes,No,"Yes, you must wear a seat belt if you are under the age of 16","Yes, You must wear a seat belt if you are over the age of 16"
"You are approaching a school bus with flashing red lights, what should you do?",Proceed ahead with caution,Come to a complete stop and only proceed when the flashing red lights are off,Pass with care to the left of the school bus,Wait for vehicles to pass on the opposing side and then pass the school bus on the opposing lane
Is the driver responsible for their passengers buckling up?,Only if passengers are over sixteen years of age,Only if passengers are under the age of sixteen,Only if the passengers are in the front seat,Only if passengers are under eighteen years of age
"When headlights are required, the drivers must use low beams when following another vehicle:",When less than 30 m (100 ft.) from the vehicle in front,When less than 60 m (200 ft.) from the vehicle in front,When less than 120 m (400 ft.) from the vehicle infront,This does not apply to divided roads
"Except when overtaking or passing another vehicle, what distance must be maintained between commercial vehicles and other vehicles on the highway?",30 m (100 ft.),60 m (200 ft.),120 m (400 ft.),150 m (500 ft.)
"Unless otherwise posted, the maximum speed limit outside of cities, towns and villages is:",70 km/h,80 km/h,90 km/h,100 km/h
"When approaching a stop sign, a driver must:","Come to a complete stop, check for pedestrians and then proceed",Drive slowly while passing the sign,"Slow down, let the right of way pass and then proceed","Come to a complete stop, check for vehicles and pedestrians and then proceed when it is safe"
What does a red signalling light mean with a green arrow at an intersection?,Vehicles may proceed with caution in the direction of the arrow,Vehicles must stop if proceeding straight,Pedestrians have the right-of-way,You must wait for the green arrow to disappear before making a turn in the direction of the arrow
"When you approach an intersection with a flashing yellow traffic light, you must:",Slow down and  proceed with caution,Come to a complete stop then proceed with caution,Not slow down and proceed right away,None of the above are correct
You must report any accident to the police when there are injuries or when the damage exceeds:,$500,"$1,000","$1,500","$2,000"
"You are required to keep a safe distance behind the vehicle in front of you at 50 km/h (30 m.p.h.), you should keep at least:",Seven car lengths behind the other vehicle,Three car lengths behind the other vehicle,One car lengths behind the other vehicle,Five car lengths behind the other vehicle
What does a flashing blue light on a vehicle mean?,Construction vehicle,Snow removal vehicle,Emergency vehicle,Tow truck
"If you are involved in an accident where an injury occurs, you must:",Report the accident to your immediate family only,Report the accident within 24 hours to the police,Report the accident at once to the police,Report the accident to your insurance company only
"When trying to enter the traffic flow from a parked position on the curb, you must:","Check for oncoming traffic, signal and pull from curb quickly",Signal and pull from the curb after checking your mirrors,"Check for oncoming traffic, signal and pull from the curb when it is safe to do so",Signal and pull from the curb after checking for pedestrians
What penalties can a driver face when convicted of driving while their licence is suspended:,"A fine of $1,000-$5,000 or imprisonment for 6 months or both for a first offence","A fine of $2,000-$5,000 or imprisonment for 6 months or both for a subsequent offence within 5 years",Up to 6 months may be added to your current suspension time,All of the above
"When approaching an intersection, you notice a traffic jam ahead, what should you do?",Proceed ahead and keep close to the vehicle in front of you,Proceed slowly into the intersection,Stop behind the line and only proceed when the traffic ahead moves forward,Maintain your speed and stop regularly behind traffic
When approaching an intersection where the traffic light is red and a policeman signals you to go through. What should you do?,Obey the policeman's signal and proceed,Let the police officer know that the traffic light is red,Wait for the light to turn green,Stop and speak to the officer to make sure they are signalling to you
"When a streetcar stops and opens the doors, what does the law require you to do before passing the streetcar?",Stop behind the rear of the streetcar and then proceed,Sound your horn and pass with caution,Pass on the left side if the way is clear,Stop behind the rearmost door; only proceed when the doors are closed and when it is safe
What does the law require you to do when you hear the sirens of an emergency vehicle on a regular two-way street?,Speed up so you can out run the emergency vehicle,Slow down and let the emergency vehicle pass,Pull over to the right as far as you can and come to a complete stop,Continue at same speed while
"If you fail to stop for a school bus that has flashing red lights on, what are the consequences for the first offence?","A fine of $400-$2,000 and 6 demerit points","A fine of up to $1,000 and 6 demerit points",Only 6 demerit points,"Only a fine of up to $2,000"
The Zero BAC law states that certain drivers may not have any blood alcohol concentration while they drive. Who does this law apply to?,Novice drivers of any age and drivers age 21 and under,Pregnant women,Only drivers age 21 and under,Only novice drivers
"Unless otherwise posted,the maximum speed limit in a city,town,village or built-up area is:",30 km/h (20 m.p.h.),40 km/h (25 m.p.h.),50 km/h (30 m.p.h.),60 km/h (35 m.p.h.)
"When a truck becomes disabled on the highway, flares or reflectors must be placed approximately what distance ahead of and to the rear of the disabled vehicle?",15 m (50 ft.),30 m (100 ft.),60 m (200 ft.),90 m (300 ft.)
What documents may a police officer require a motor vehicle owner to produce?,Valid insurance,Vehicle ownership,Valid driver's license,Any or all of the above
"When a streetcar stops and opens its doors at a safety island, what does the law require you to do?",Come to a stop and wait until the doors close before you proceed,Wait until there are no pedestrians before proceeding,Proceed with caution,Stop 2 m behind the stop signs on the streetcar doors
Which of the following is incorrect?,You must not park within 3 m of a fire hydrant,You must not park within 100 m of a bridge,You must not park on a hill if you do not have a clear view of at least 50 m in both direction,You must not park within 15 m from a railway crossing
"When traveling on  a highway, the driver of a motor vehicle is not permitted to carry in a house or boat trailer:",Firearms,Flammable materials,Person(s),Pets
"Cellular phone can be an important safety aid for drivers,However,using a cellular phone while driving:",Is safe only if a hands-free system is used,Is acceptable for drivers with four or more years of driving exoerience,Is safe only when weather conditions are good,Interferes with your ability to drive safely
"As a class G1 driver, you must be accompanied by a class G driver. How many years of experience must the class G driver have?",One year,Two years,Three years,Four years
Never change lanes in the traffic without:,Looking in the rear view mirror only,Giving proper signal and looking to make sure the move can be made safely,Blowing your horn and looking to the rear,Decreasing speed and giving correct signal
"When the driver of another vehicle is about to overtake and pass your vehicle, you must:",Speed up so that passing is not necessary,Move to the left to prevent passing,Signal the other driver not to pass,Move to the right and allow such vehicle to pass
"Which of the following has the right-of-way over all others at an intersection where the signal light is
green?",Pedestrians crossing with the light,Pedestrians crossing against the light,Vehicle turning right,Vehicle turning left
Which of the following hand-and-arm signals is correct for slowing or stopping?,Arm out and down,Circle motion,Arm out and up,Arm straight out the window
What must a driver do before entering a highway from a private road or driveway?,Enter or cross the highway as quickly as possible,Yield right-of-way to all vehicles approaching on the highway,Sound horn and proceed with caution,"Give hand signal, then take right-of-way"
Which of the following hand-and-arm signals is correct for a right turn?,Arm out and up,Arm out and down,Arm straight out the window,Circle motion
"Upon approaching an intersection marked with a “Yield” sign, you are required to:","Stop, then enter intersection slowly",Enter intersection only when way is clear,Keep same speed and look left and right,"Stop, then enter the intersection quickly"
Parking lights may be used:,When driving on well lighted streets,When driving in heavy fog,At any time,For parking only
When does the law require lights on your vehicle to be turned on?,Between 1/2 hour before sunset to 1/2 hour after sunrise and at any other time you cannot see clearly for a distance of 150 metres (500 feet),Between dusk and dawn and at any other time you cannot see clearly for a distance of 150 metres (500 feet),Between sunset and sunrise,No specific time
A flashing red light at an intersection means:,"Stop, proceed only when it is safe to do so",Slow down and yield right-of-way to cars approaching from your left or right,"Stop, proceed only when the light changes to green",Slow down and drive with increased caution
A flashing blue light on a motor vehicle indicates:,Snow removal equipment,A motor vehicle carrying explosives,A public utility emergency vehicle,An ambulance
"Before leaving your car parked on a downgrade, you should:",Turn your front wheels to the left and set your parking brake,Set your parking brake only,Leave your front wheels parallel to the curb,Turn your front wheels to the right and set your parking brake
"When you are deciding whether or not to make a U-turn, your first consideration should be to check:",Traffic regulations,"Presence of trees, fire hydrants or poles near the curb",Turning radius of your car,Height of curb
When a flashing green light is shown at an intersection:,You must not attempt to make a left turn,You must stop and proceed when the light stops flashing,You must proceed straight through or turn to the left or right,The flashing green light is for pedestrians only
"To get your vehicle out of a skid, you should first:",Steer straight ahead,Steer in the opposite direction of the skid,Look where you want to go and steer in that direction,Apply brakes hard
"A solid centre line on the roadway is on your side of a broken centre line. What does the solid centre
line mean?",It is unsafe to overtake and pass,Pass at any time,Pass only when no traffic is in sight,It is safe to overtake and pass
"A solid centre line on the roadway is on your side of a broken centre line. What does the solid centre
line mean?",It is unsafe to overtake and pass,Pass at any time,Pass only when no traffic is in sight,It is safe to overtake and pass
"When a car is stopped to allow a pedestrian to cross the street at a marked crosswalk, you should:",Not pass any car stopped to allow a pedestrian to cross,Pass the stopped car of the right,Pass the stopped car of the left,Sound horn for the driver of the stopped car to drive on
How close to a fire hydrant may you legally park?,1.5 metres (5 feet),3 metres (10 feet),4.5 metres (15 feet),6 metres (20 feet)
In what lane of traffic should you drive when you are going to make a right turn?,Close to the centre line of the roadway,Close to the right side of the roadway,Close to the left side of the roadway,Does not matter if you give proper signal
"Some driving offences, including convictions for careless driving and driving 50 km/h or more over the
speed limit, can result in:",Demerit points only,Fines only,"Demerit points, fines and suspension of your driver’s licence",Suspension of your driver’s licence
You may driver while your licence suspended only if:,You have not surrendered your licence to the Ministry of Transportation,You consider yourself to be a highly skilled driver,You drive only during the daytime,"You may not, under any circumstances, drive while your licence is suspended"
"If your refuse to give a breath or blood sample to the police when asked, or if you register over the legal
limit on a breath or blood test, your licence will be suspended immediately at the roadside or police
station for:",90 days,120 days,150 days,180 days
"The first time you are convicted of a Criminal Code offence, your licence will be suspended for at least:",One year,Two years,Three years,Four years
"When driving, the most dangerous position on the road is:",Two seconds or more behind another vehicle,Two car lengths behind another vehicle two lanes over,In the blind spot of another vehicle,Two car lengths in front of another vehicle
If you cause a collision while using a cellular phone:,Your insurance premium may increase,"You can be charged with careless driving, and if convicted, you will receive six demerit points and can be fined up to $1,000 and sentenced to six months in jail","You may be charged with careless driving, but not be convicted",You will not be charged
In what position on the roadway must you be before making a left turn from a one-way street? (Repeat),Close to the right side of the roadway,Close to the left side of the roadway,Close to the centre line of the roadway,Does not matter if you give proper signal
Never make a U-turn unless you can see at least _______ in both directions.,50m,125m,250m,150m
"Coming to a complete stop at an intersection is required, but where do you stop if there is no stop line, crosswalk or sidewalk?",Right before the stop sign,A little into the intersection,Right beside the stop sign,At the edge of the intersection
What should you do if you feel drowsy while driving?,Open a window,Turn up your radio,Reduce speed,Stop for a short rest in a safe area
"If you want to pass a motorcycle,you should",pass just as would with another car.,use half of their lane to pass.,honk your horn before you pass.,turn on your high-beam lights before you pass.
"When driving in heavy fog,you should use",parking lights.,low-beam headlights,parking lights and high-beam headlights.,high-beam headlights.
You may NOT park within------of an intersection that is NOT controlled by traffic lights.,5 metres.,7 metres.,9 metres.,15 metres.
"Under Ontario's Move Over low,you are required to",move into the rightmost lane if you are driving slower than other traffic.,change lanes if safe when passing a stopped emergency vehicle with its lights flashing.,pull over if an emergency vehicle is following you with its lights flashing.,do none of the above
"If you are passing a cyclist, how much room should you leave between your vehicle and the cyclist",1 metre,2 metres,3 metres,4 metres
Why is it necessary to check over your shoulder when changing lanes?,So you do not have to check your mirrors,It makes it easier to change lanes when you are facing the direction,To check your blind spots,All of the above
"When two vehicles meet at an intersection that has all-ways stop signs, who has the right-of-way:",The vehicle on your right side,The vehicle on your left side,Both of you have the right of way,None of the above
You should always drive at a speed which will allow you to:,Stop within 60 meters (200 feet),Stop within 90 meters (300 feet),Stop within 150 meters (500 feet),Stop within a safe distance
"If you want to pass a motorcycle, you should:","Turn on your high beam lights, as the driver on the motorcycle has small mirrors",Flash your high beam lights to get the driver's attention,Treat the motorcycle as any other vehicle and pass it normally,Use half of the lane to pass the motorcycle
When should you yield to the right of way ?,"At an intersection without signs or lights, yield to the first vehicle or if both vehicles stop at the same time, yield to the vehicle approaching from the right","When entering the road from a private road or driveway, yield to the pedestrians and traffic on the road",At a pedestrian crossings and school crossings with crossing guards.,All of the above
Most automobile skids are the result of:,Driving too fast,Hard breaking on the road,Aggressive turning on the road,Making U-Turns
Which of the following is incorrect?,"When 6 demerit points have been accumulated, a letter will be sent to you advising you to improve your driving skills","When 9 demerit points have been accumulated, you may be called in for an interview and a driver re-examination","When 15 demerit points have been accumulated, your licence will be suspended for 30 days","When 15 demerit points have been accumulated, you will lose your licence for up to 2 years"
What must you do when switching lanes in traffic?,Signal correctly and check your mirrors before switching lanes,Check your blind spots before switching lanes,Turn off your signal after switching lanes,All of the above
Which of the following hand-and-arm signals is correct for slowing or stopping?,Arm out and up,Arm straight out the window,Arm out and down,None of the above
"When another vehicle wants to overtake and pass your vehicle, you must:",Reduce your speed to keep the vehicle behind you,Accelerate to keep the traffic flowing,Move to the right and allow the vehicle to pass,Move to the left to prevent  the vehicle from passing
What is the best way to stop quickly on a wet or icy road?,Take your foot off the gas pedal and focus on your steering as your car slows down,Pump the brake until you come to a stop,Step on the brakes as you normally would,Fully step on the brakes to prevent skidding
"When driving in heavy fog,you should use:",High beam head lights to increase your range of vision,Low beam headlights to increase your nearby vision,Parking lights,Parking lights and high beam headlights
"When parking downhill on the road curb, you must:",Use your parking breaks to prevent the car from rolling down the hill,Turn your front wheels to the left and set your parking brake,Turn your front wheels to the right and set your parking brake,Park like you normally would
"If you are driving on a road and suddenly your right tire goes off the road, what is the safest way to get back on the road?",Apply the gas pedal and steer hard to the left,Apply the brakes and steer hard to the left,"Take your foot off the gas pedal, and steer left when vehicle has slowed down",Apply the brakes and steer hard to the right
When is a u-turn prohibited?,"When there's a ""No U-Turn Sign""",On a railroad crossing or within 30 m (100 ft.) of a railroad crossing,On a hill where the driver's view is less than 150 m (500 ft.) in both directions,All of above
"When entering a freeway you should signal,then:","Stop on acceleration lane,wait for an opening,then enter the freeway rapidly",Drive slowly and be prepared to stop for freeway traffic,"Slow down,enter the freeway at a sharp angle",Accelerate quickly to freeway speed and merge with freeway traffic
A broken center line on a roadway means you may:,Never pass,Pass at any time,Pass if the way is clear,Pass only during daylight hours
"When you are driving along the road, you should:",Always keep to the middle lane,Always keep to the right,Always keep to the left,None of the above
"If you are planning to making a U-Turn, what is the first thing you should check before making a U-Turn?",The amount of space needed for a U-Turn,The pedestrians,A No U-Turn Sign,The oncoming vehicles
"If you are driving and suddenly one of your tires blows out, you should:",Concentrate on steering wheel,Take your foot off the gas pedal to reduce the vehicle speed,Try and bring the vehicle to a stop off the road,All of the above
